sex,age,race,decile_score,priors_count,c_charge_degree,r_charge_degree,is_violent_recid,v_decile_score,v_score_text,score_text
Male,69,Other,1,0,F,O,0,1,Low,Low
Male,31,Caucasian,5,0,O,O,0,2,Low,Medium
Male,34,African-American,3,0,F,F,1,1,Low,Low
Male,24,African-American,4,4,F,M,0,3,Low,Low
Male,23,African-American,8,1,F,O,0,6,Medium,High
Male,43,Other,1,2,F,O,0,1,Low,Low
Male,44,Other,1,0,M,O,0,1,Low,Low
Male,41,Caucasian,6,14,F,F,0,2,Low,Medium
Male,43,Other,4,3,F,O,0,3,Low,Low
Female,39,Caucasian,1,0,M,O,0,1,Low,Low
Male,20,Caucasian,10,0,F,O,0,9,High,High
Female,26,Caucasian,5,0,F,O,0,3,Low,Medium
Male,21,Caucasian,3,1,F,M,1,5,Medium,Low
Male,27,Caucasian,4,0,F,O,0,4,Low,Low
Male,23,African-American,6,3,M,M,0,4,Low,Medium
Female,37,Caucasian,1,0,M,O,0,1,Low,Low
Male,22,Caucasian,3,0,M,O,0,5,Medium,Low
Male,41,African-American,4,0,F,O,0,2,Low,Low
Female,47,Caucasian,1,1,F,F,0,1,Low,Low
Male,31,African-American,3,7,F,M,0,2,Low,Low
Male,37,Hispanic,1,0,M,O,0,1,Low,Low
Male,25,African-American,10,3,F,O,0,9,High,High
Male,31,Caucasian,5,6,F,F,1,4,Low,Medium
Male,31,Caucasian,3,5,F,F,0,2,Low,Low
Male,64,African-American,6,13,F,F,0,3,Low,Medium
Male,21,African-American,9,1,F,M,0,9,High,High
Male,27,Caucasian,2,0,M,M,0,3,Low,Low
Female,21,Caucasian,4,0,F,O,0,5,Medium,Low
Male,24,African-American,-1,2,F,M,0,6,Medium,
Male,24,Hispanic,4,1,F,M,0,5,Medium,Low
Male,42,Caucasian,3,1,F,O,0,1,Low,Low
Male,43,Caucasian,1,1,M,O,0,2,Low,Low
Male,32,Other,3,0,M,O,0,4,Low,Low
Female,54,African-American,9,0,F,O,0,5,Medium,High
Male,44,African-American,6,8,M,O,0,4,Low,Medium
Female,49,Caucasian,1,0,O,O,0,1,Low,Low
Male,27,African-American,3,8,F,M,1,3,Low,Low
Female,36,Caucasian,3,3,F,O,0,1,Low,Low
Male,26,African-American,7,5,F,M,0,7,Medium,Medium
Male,33,African-American,10,0,F,F,1,6,Medium,High
Male,30,Caucasian,9,9,F,F,0,10,High,High
Male,32,African-American,8,4,F,M,0,3,Low,High
Male,63,African-American,1,0,M,O,0,1,Low,Low
Male,27,Hispanic,3,2,F,O,0,3,Low,Low
Male,55,Caucasian,1,0,F,O,0,1,Low,Low
Male,29,Caucasian,8,0,O,O,0,6,Medium,High
Male,32,African-American,10,15,F,O,0,8,High,High
Male,38,African-American,3,5,F,O,0,4,Low,Low
Male,53,Caucasian,5,19,F,O,0,2,Low,Medium
Male,49,Other,3,7,F,M,0,2,Low,Low
Male,26,Caucasian,8,6,M,O,0,8,High,High
Female,33,Caucasian,5,4,M,F,0,2,Low,Medium
Male,24,Caucasian,2,1,M,F,0,3,Low,Low
Male,34,African-American,9,21,F,M,0,6,Medium,High
Male,29,Caucasian,2,0,M,O,0,2,Low,Low
Female,21,African-American,8,2,F,O,0,8,High,High
Male,51,African-American,1,2,M,O,0,1,Low,Low
Male,36,African-American,1,0,O,O,0,1,Low,Low
Male,29,Caucasian,2,2,M,M,0,2,Low,Low
Male,25,African-American,6,0,F,O,0,7,Medium,Medium
Female,51,African-American,2,7,F,O,0,2,Low,Low
Male,28,Caucasian,7,8,F,O,0,4,Low,Medium
Male,36,African-American,9,22,M,O,0,10,High,High
Male,29,African-American,7,0,F,M,0,2,Low,Medium
Male,29,Other,1,0,M,O,0,2,Low,Low
Male,25,Caucasian,10,9,M,F,1,9,High,High
Male,35,African-American,8,13,F,M,1,3,Low,High
Male,49,Caucasian,1,0,M,O,0,1,Low,Low
Male,34,African-American,3,4,M,M,0,2,Low,Low
Male,29,African-American,4,0,F,O,0,3,Low,Low
Male,29,Caucasian,2,1,F,M,0,2,Low,Low
Female,28,Other,2,0,F,O,0,2,Low,Low
Male,51,Caucasian,2,0,F,O,0,1,Low,Low
Male,25,Caucasian,3,0,F,O,0,3,Low,Low
Male,48,Caucasian,6,20,F,M,0,4,Low,Medium
Male,33,Caucasian,9,1,F,O,0,10,High,High
Female,63,Hispanic,1,1,F,O,0,1,Low,Low
Male,30,African-American,6,3,F,O,0,4,Low,Medium
Male,31,African-American,5,15,F,M,0,7,Medium,Medium
Male,24,African-American,4,2,F,M,0,4,Low,Low
Male,27,African-American,5,0,F,O,0,3,Low,Medium
Male,32,Caucasian,8,3,F,O,0,2,Low,High
Male,30,Hispanic,7,0,M,O,0,3,Low,Medium
Male,49,African-American,1,4,M,O,0,1,Low,Low
Male,53,Caucasian,5,8,F,O,0,2,Low,Medium
Female,31,Hispanic,1,0,M,O,0,1,Low,Low
Male,35,African-American,3,5,F,O,0,2,Low,Low
Male,63,African-American,7,10,M,M,0,5,Medium,Medium
Male,33,African-American,1,2,F,O,0,1,Low,Low
Male,27,African-American,10,15,F,M,0,9,High,High
Male,38,Caucasian,2,4,M,M,0,2,Low,Low
Male,46,Caucasian,6,9,F,O,0,3,Low,Medium
Male,22,African-American,4,1,F,M,0,6,Medium,Low
Female,34,Caucasian,1,0,M,O,0,1,Low,Low
Male,22,African-American,10,2,F,M,0,9,High,High
Male,29,African-American,9,4,F,F,0,5,Medium,High
Male,62,Hispanic,1,0,M,O,0,1,Low,Low
Male,27,African-American,6,6,F,F,0,3,Low,Medium
Male,33,Other,1,0,M,O,0,1,Low,Low
Female,56,African-American,1,0,M,O,0,1,Low,Low
Male,45,Hispanic,1,6,F,M,1,1,Low,Low
Male,22,Hispanic,4,1,F,O,0,6,Medium,Low
Female,31,Caucasian,3,2,F,O,0,2,Low,Low
Male,34,African-American,4,0,F,O,0,4,Low,Low
Male,39,African-American,4,1,M,O,0,2,Low,Low
Male,24,African-American,6,4,M,O,0,4,Low,Medium
Male,29,African-American,6,5,F,M,0,3,Low,Medium
Male,27,Caucasian,6,1,F,F,0,3,Low,Medium
Male,41,African-American,2,0,O,O,0,1,Low,Low
Female,24,Hispanic,4,1,M,O,0,2,Low,Low
Male,40,African-American,2,2,F,O,0,1,Low,Low
Male,51,African-American,1,1,F,O,0,1,Low,Low
Male,22,African-American,3,1,M,M,0,3,Low,Low
Male,22,Caucasian,8,0,F,O,0,6,Medium,High
Female,26,African-American,4,1,F,M,1,3,Low,Low
Male,27,Caucasian,7,1,F,M,1,8,High,Medium
Female,59,African-American,1,2,F,O,0,1,Low,Low
Male,32,Caucasian,1,3,M,O,0,3,Low,Low
Male,32,African-American,2,0,F,O,0,1,Low,Low
Male,41,African-American,2,1,M,O,0,2,Low,Low
Male,50,Caucasian,1,0,M,O,0,1,Low,Low
Male,30,African-American,10,8,M,M,1,9,High,High
Male,66,African-American,9,0,M,O,0,3,Low,High
Male,52,African-American,5,3,F,O,0,1,Low,Medium
Male,36,African-American,6,0,O,O,0,5,Medium,Medium
Male,22,Caucasian,6,3,F,O,0,5,Medium,Medium
Male,50,Other,1,0,F,M,0,2,Low,Low
Male,25,African-American,10,14,F,M,1,10,High,High
Female,44,Caucasian,1,0,O,O,0,1,Low,Low
Male,20,Other,5,0,F,F,1,8,High,Medium
Male,22,African-American,9,2,F,M,0,10,High,High
Male,23,African-American,7,2,M,M,0,8,High,Medium
Male,54,African-American,6,6,F,O,0,5,Medium,Medium
Male,40,Caucasian,5,4,F,O,0,4,Low,Medium
Male,25,African-American,7,10,F,O,0,6,Medium,Medium
Female,35,African-American,2,1,M,O,0,1,Low,Low
Male,36,African-American,7,9,F,M,0,6,Medium,Medium
Male,26,Caucasian,8,7,F,M,0,4,Low,High
Male,21,Other,6,1,F,M,0,6,Medium,Medium
Female,28,African-American,3,0,O,O,0,3,Low,Low
Male,30,Caucasian,5,6,F,O,0,4,Low,Medium
Male,25,Caucasian,8,9,F,M,1,9,High,High
Male,71,African-American,7,12,M,O,0,3,Low,Medium
Male,34,African-American,3,3,M,O,0,2,Low,Low
Female,20,Caucasian,7,0,F,O,0,8,High,Medium
Male,39,Caucasian,1,2,F,F,0,1,Low,Low
Male,66,Caucasian,1,3,F,O,0,1,Low,Low
Female,54,Caucasian,1,0,M,O,0,1,Low,Low
Male,28,African-American,4,0,O,O,0,5,Medium,Low
Female,44,Hispanic,1,0,M,O,0,1,Low,Low
Male,19,African-American,4,1,M,M,1,7,Medium,Low
Male,24,African-American,2,1,F,O,0,3,Low,Low
Male,30,African-American,2,1,F,O,0,2,Low,Low
Female,39,Caucasian,1,0,F,M,1,1,Low,Low
Female,32,African-American,3,8,M,O,0,1,Low,Low
Male,24,Caucasian,6,8,F,F,0,6,Medium,Medium
Male,30,Caucasian,4,0,F,O,0,2,Low,Low
Male,31,Caucasian,5,0,M,O,0,2,Low,Medium
Female,39,Caucasian,4,1,F,O,0,3,Low,Low
Male,59,African-American,9,14,F,F,1,4,Low,High
Male,35,Caucasian,6,7,F,O,0,3,Low,Medium
Female,24,Other,3,0,F,O,0,4,Low,Low
Male,43,Caucasian,1,1,F,O,0,1,Low,Low
Male,21,African-American,9,2,F,O,0,6,Medium,High
Female,21,African-American,4,0,M,O,0,4,Low,Low
Male,21,African-American,9,3,F,M,0,6,Medium,High
Male,27,African-American,7,0,F,O,0,3,Low,Medium
Male,20,African-American,8,0,F,O,0,6,Medium,High
Male,38,Caucasian,4,5,M,F,0,3,Low,Low
Male,27,African-American,9,3,F,O,0,4,Low,High
Male,34,Caucasian,5,0,F,O,0,5,Medium,Medium
Male,30,African-American,3,3,F,O,0,3,Low,Low
Male,33,African-American,5,5,F,M,0,2,Low,Medium
Male,37,African-American,2,3,F,O,0,1,Low,Low
Male,42,Caucasian,2,1,F,F,0,2,Low,Low
Male,41,African-American,9,10,F,M,0,7,Medium,High
Male,22,African-American,4,0,F,F,0,7,Medium,Low
Male,33,African-American,8,28,F,M,0,5,Medium,High
Male,44,Caucasian,1,0,M,O,0,1,Low,Low
Male,31,African-American,7,1,M,O,0,8,High,Medium
Male,26,African-American,8,9,F,O,0,7,Medium,High
Female,30,Other,2,1,F,O,0,2,Low,Low
Male,31,Caucasian,10,13,F,F,1,7,Medium,High
Male,27,African-American,9,3,F,F,0,4,Low,High
Female,31,Caucasian,2,1,F,O,0,2,Low,Low
Male,47,Hispanic,1,2,F,O,0,1,Low,Low
Male,56,African-American,9,8,F,O,0,3,Low,High
Male,33,Asian,8,2,M,O,0,8,High,High
Male,52,Caucasian,9,3,M,O,0,6,Medium,High
Male,33,African-American,10,19,F,M,0,7,Medium,High
Male,61,Caucasian,4,0,F,O,0,1,Low,Low
Female,64,Caucasian,1,2,M,O,0,1,Low,Low
Male,22,Caucasian,6,4,F,M,0,8,High,Medium
Male,42,Caucasian,3,6,F,O,0,1,Low,Low
Female,25,Caucasian,4,2,F,O,0,5,Medium,Low
Male,27,Caucasian,1,0,F,O,0,2,Low,Low
Male,30,Caucasian,2,1,M,O,0,2,Low,Low
Male,23,African-American,2,0,O,O,0,3,Low,Low
Male,28,Caucasian,1,2,F,O,0,2,Low,Low
Female,37,Other,2,2,M,O,0,1,Low,Low
Male,21,Caucasian,5,1,F,O,0,6,Medium,Medium
Male,28,Caucasian,2,0,M,M,0,3,Low,Low
Female,24,African-American,2,0,M,O,0,3,Low,Low
Male,37,African-American,8,13,F,O,0,7,Medium,High
Male,22,African-American,9,0,F,O,0,8,High,High
Female,29,Caucasian,4,10,F,F,0,2,Low,Low
Female,25,Caucasian,3,0,F,O,0,3,Low,Low
Male,44,Caucasian,2,2,M,M,0,1,Low,Low
Female,30,Hispanic,5,4,F,M,1,5,Medium,Medium
Male,32,African-American,7,3,F,F,0,3,Low,Medium
Male,53,Hispanic,4,1,F,O,0,1,Low,Low
Male,34,Other,2,1,M,O,0,1,Low,Low
Male,31,Caucasian,3,2,M,M,0,3,Low,Low
Male,27,African-American,10,5,F,O,0,10,High,High
Male,31,African-American,2,1,M,M,0,3,Low,Low
Male,59,Caucasian,2,1,F,M,0,1,Low,Low
Male,28,African-American,10,15,F,O,0,8,High,High
Female,45,Caucasian,4,4,F,O,0,3,Low,Low
Male,23,Caucasian,3,0,M,O,0,3,Low,Low
Female,20,African-American,10,1,F,O,0,10,High,High
Male,42,African-American,1,2,F,O,0,1,Low,Low
Female,43,Caucasian,1,0,M,O,0,1,Low,Low
Male,38,African-American,8,9,F,M,0,4,Low,High
Male,32,African-American,6,11,F,F,1,5,Medium,Medium
Male,33,African-American,5,8,M,M,1,2,Low,Medium
Male,55,African-American,8,4,M,O,0,3,Low,High
Female,31,African-American,3,0,F,M,0,2,Low,Low
Female,33,African-American,9,7,F,M,0,9,High,High
Male,27,African-American,9,2,F,M,0,8,High,High
Male,52,African-American,1,0,M,O,0,1,Low,Low
Female,20,African-American,6,0,F,O,0,8,High,Medium
Female,26,Caucasian,6,0,M,O,0,3,Low,Medium
Male,25,African-American,10,4,M,O,0,10,High,High
Female,61,African-American,1,1,F,M,0,1,Low,Low
Male,52,Other,7,13,F,M,0,6,Medium,Medium
Male,63,Hispanic,1,1,F,O,0,1,Low,Low
Male,40,Hispanic,2,0,O,O,0,1,Low,Low
Female,32,African-American,10,4,F,F,1,9,High,High
Male,29,Hispanic,4,1,F,O,0,4,Low,Low
Female,46,Other,2,1,F,O,0,1,Low,Low
Female,26,African-American,4,2,M,M,0,4,Low,Low
Male,55,African-American,1,3,M,O,0,1,Low,Low
Male,39,Caucasian,4,1,O,O,0,4,Low,Low
Female,30,Caucasian,7,3,F,F,0,4,Low,Medium
Male,30,African-American,7,1,F,O,0,8,High,Medium
Male,48,Caucasian,2,2,M,O,0,1,Low,Low
Male,33,Caucasian,1,0,M,O,0,1,Low,Low
Male,22,African-American,2,1,F,O,0,4,Low,Low
Male,46,Caucasian,1,6,F,M,0,1,Low,Low
Male,41,Caucasian,10,5,F,O,0,4,Low,High
Female,49,Caucasian,6,6,F,O,0,2,Low,Medium
Male,31,Caucasian,5,0,F,O,0,4,Low,Medium
Male,31,African-American,1,0,M,O,0,2,Low,Low
Male,25,African-American,2,1,M,M,0,3,Low,Low
Male,31,African-American,3,3,F,O,0,2,Low,Low
Female,21,African-American,6,0,M,O,0,6,Medium,Medium
Male,23,Hispanic,3,0,F,O,0,5,Medium,Low
Female,32,African-American,7,5,F,O,0,3,Low,Medium
Male,52,Hispanic,1,2,M,O,0,1,Low,Low
Male,62,African-American,4,8,F,O,0,1,Low,Low
Male,30,African-American,6,2,M,O,0,4,Low,Medium
Female,37,Caucasian,10,6,F,O,0,4,Low,High
Male,55,Caucasian,1,1,F,O,0,1,Low,Low
Male,31,Hispanic,9,8,F,M,0,7,Medium,High
Male,28,African-American,6,6,M,M,1,6,Medium,Medium
Male,54,Hispanic,1,2,F,O,0,1,Low,Low
Male,58,Hispanic,2,0,F,O,0,1,Low,Low
Male,78,Caucasian,1,1,M,F,0,1,Low,Low
Male,56,Caucasian,1,0,F,O,0,1,Low,Low
Male,21,Hispanic,10,1,M,O,0,8,High,High
Male,24,Other,2,0,F,O,0,4,Low,Low
Male,38,African-American,8,22,F,M,0,5,Medium,High
Male,39,African-American,5,3,M,O,0,1,Low,Medium
Male,35,Caucasian,1,0,F,O,0,1,Low,Low
Male,22,African-American,5,1,F,M,0,5,Medium,Medium
Male,21,Hispanic,7,0,O,O,0,6,Medium,Medium
Male,47,African-American,8,23,M,F,0,1,Low,High
Male,23,African-American,2,0,M,M,0,4,Low,Low
Male,57,Hispanic,1,1,F,O,0,1,Low,Low
Female,38,Caucasian,5,2,F,M,0,2,Low,Medium
Male,66,African-American,1,3,F,M,1,1,Low,Low
Male,45,Caucasian,4,8,M,M,0,3,Low,Low
Female,28,Caucasian,5,0,M,O,0,2,Low,Medium
Male,45,Other,1,2,F,O,0,1,Low,Low
Female,52,Other,3,0,O,M,0,1,Low,Low
Male,32,African-American,10,13,F,F,0,7,Medium,High
Male,37,African-American,9,2,M,M,1,8,High,High
Male,39,Caucasian,4,0,F,M,0,4,Low,Low
Male,26,African-American,9,9,F,F,0,8,High,High
Male,25,African-American,8,3,F,O,0,8,High,High
Male,45,Caucasian,3,2,F,O,0,4,Low,Low
Female,57,Caucasian,9,7,F,O,0,1,Low,High
Male,23,African-American,3,0,F,F,1,4,Low,Low
Male,34,African-American,2,2,M,F,0,1,Low,Low
Male,38,African-American,10,14,F,O,0,8,High,High
Female,36,African-American,3,0,O,O,0,4,Low,Low
Female,23,African-American,4,1,M,O,0,4,Low,Low
Male,36,Other,3,2,M,F,0,1,Low,Low
Male,50,Caucasian,1,1,F,O,0,1,Low,Low
Female,37,Caucasian,3,0,M,O,0,1,Low,Low
Male,44,Caucasian,4,4,M,O,0,4,Low,Low
Female,35,African-American,9,23,F,F,0,9,High,High
Male,31,Caucasian,1,1,F,O,0,1,Low,Low
Male,24,Other,5,5,F,F,0,4,Low,Medium
Male,40,Asian,1,3,F,O,0,1,Low,Low
Male,26,African-American,10,2,F,F,0,8,High,High
Male,37,Other,6,1,F,O,0,2,Low,Medium
Male,27,African-American,2,0,M,O,0,3,Low,Low
Female,31,Caucasian,3,1,M,O,0,2,Low,Low
Female,28,African-American,8,0,F,O,0,6,Medium,High
Male,43,Caucasian,5,11,F,M,1,3,Low,Medium
Male,42,African-American,5,0,O,O,0,6,Medium,Medium
Female,28,Caucasian,9,7,F,F,0,6,Medium,High
Male,38,African-American,1,0,F,O,0,1,Low,Low
Male,38,African-American,1,2,F,O,0,1,Low,Low
Male,27,Caucasian,4,2,M,O,0,3,Low,Low
Female,28,African-American,9,1,F,O,0,7,Medium,High
Male,21,African-American,7,1,F,O,0,8,High,Medium
Male,56,Caucasian,1,7,F,M,0,1,Low,Low
Male,38,African-American,9,15,F,O,0,3,Low,High
Male,28,African-American,5,2,M,O,0,4,Low,Medium
Male,45,African-American,6,3,F,O,0,4,Low,Medium
Male,28,Hispanic,2,0,M,O,0,3,Low,Low
Female,24,Other,2,1,F,O,0,2,Low,Low
Male,61,Caucasian,1,1,F,O,0,1,Low,Low
Female,51,Caucasian,1,0,M,M,1,1,Low,Low
Male,51,Caucasian,2,0,M,O,0,2,Low,Low
Male,20,Caucasian,4,0,F,O,0,7,Medium,Low
Male,36,Other,1,1,M,M,0,1,Low,Low
Male,48,African-American,1,0,F,O,0,1,Low,Low
Male,37,Caucasian,3,4,F,M,0,4,Low,Low
Female,30,African-American,7,2,F,O,0,4,Low,Medium
